,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
842,2015-08-19,29,20,5,49
843,2015-08-23,34,37,19,71
844,2015-08-20,57,53,13,110
845,2015-08-22,7,2,5,9
847,2015-08-17,82,49,10,131
848,2015-08-06,52,53,14,105
849,2015-08-15,16,15,7,31
850,2015-08-02,5,15,23,20
851,2015-08-22,2,2,4,4
852,2015-08-20,39,53,14,92
853,2015-08-12,48,54,14,102
854,2015-08-21,4,12,0,16
855,2015-08-27,35,14,5,49
856,2015-08-26,30,19,5,49
857,2015-08-24,42,64,13,106
858,2015-08-29,8,3,21,11
859,2015-08-25,55,54,13,109
860,2015-08-12,5,8,0,13
861,2015-08-03,39,42,12,81
862,2015-08-19,21,22,23,43
863,2015-08-23,24,16,7,40
865,2015-08-29,8,12,20,20
866,2015-08-02,6,20,0,26
868,2015-08-31,130,350,17,480
869,2015-08-31,270,150,8,420
870,2015-08-14,19,19,5,38
871,2015-08-02,2,1,3,3
872,2015-08-09,101,110,15,211
873,2015-08-01,2,2,4,4
874,2015-08-09,7,8,23,15
875,2015-08-08,50,35,8,85
876,2015-08-11,57,51,12,108
877,2015-08-12,44,50,21,94
878,2015-08-12,42,46,13,88
879,2015-08-31,28,20,11,48
880,2015-08-23,98,57,15,155
881,2015-08-03,2,3,1,5
882,2015-08-08,46,63,18,109
883,2015-08-22,78,99,13,177
884,2015-08-04,126,51,6,177
885,2015-08-31,15,11,5,26
886,2015-08-26,174,109,9,283
887,2015-08-09,52,34,19,86
888,2015-08-15,32,35,9,67
890,2015-08-08,39,15,21,54
891,2015-08-19,53,51,11,104
892,2015-08-06,75,92,15,167
893,2015-08-28,19,10,5,29
894,2015-08-31,29,51,15,80
895,2015-08-04,46,45,11,91
896,2015-08-14,19,53,15,72
897,2015-08-11,19,23,23,42
898,2015-08-30,57,41,11,98
899,2015-08-16,11,9,0,20
900,2015-08-06,56,40,12,96
901,2015-08-30,57,72,16,129
902,2015-08-17,74,71,20,145
903,2015-08-27,46,77,14,123
904,2015-08-24,3,7,1,10
905,2015-08-02,51,55,18,106
906,2015-08-12,64,93,20,157
907,2015-08-10,272,124,7,396
908,2015-08-04,7,7,0,14
909,2015-08-18,100,52,6,152
